respondent_id,persona,Q1_age_group,Q2_gender,Q3_state,Q4_city_tier,Q5_occupation,Q6_monthly_income,Q7_family_structure,Q8_cultural_affinity,Q9_banarasi_familiarity,Q10_sustainability_importance,Q11_purchase_frequency,Q23_per_txn_spend,Q24_annual_spending,Q25_premium_willingness,Q28_purchase_likelihood,Q12_occasion_Weddings,Q12_occasion_Festivals,Q12_occasion_Gifting,Q12_occasion_Personal_use___Self-reward,Q12_occasion_Home_renovation___Interior_decoration,Q12_occasion_Corporate___Business_gifting,Q12_occasion_No_specific_occasion,Q13_channel_Online_marketplaces_Amazon_Flipkart_Myntra,Q13_channel_Specialty_artisan_platforms_Jaypore_iTokri_Okhai,Q13_channel_Brands_own_website___D2C_store,Q13_channel_Physical_retail_stores___Showrooms,Q13_channel_Exhibitions___Handicraft_fairs,Q13_channel_Directly_from_artisans___Weavers,Q13_channel_Social_media_Instagram_WhatsApp_sellers,Q13_channel_YouTube___Influencer_recommendations,Q13_channel_Word_of_mouth_from_family___friends,Q13_channel_Email_newsletters___WhatsApp_broadcast,Q14_factor_Authenticity___GI_certification,Q14_factor_Price___Value_for_money,Q14_factor_Design_and_aesthetics,Q14_factor_Brand_reputation___Trust,Q14_factor_Artisan_story___Handmade_appeal,Q14_factor_Ease_of_availability,Q14_factor_Recommendations_from_family___friends,Q14_factor_Social_media___Influencer_endorsement,Q14_factor_Sustainability___Eco-friendliness,Q14_factor_Uniqueness___Not_mass-produced,Q15_source_FabIndia,Q15_source_Taneira_Titan_Tata,Q15_source_Local_artisan_shops___Weaver_cooperatives,Q15_source_Amazon___Flipkart_ethnic_section,Q15_source_Jaypore___iTokri___Okhai___GoCoop,Q15_source_Myntra___Nykaa_Fashion,Q15_source_Exhibitions___Craft_melas,Q15_source_Directly_from_Varanasi___Other_craft_cities,Q15_source_I_dont_currently_buy_such_products,Q16_product_Banarasi_Silk_Sarees_and_Textiles,Q16_product_Handwoven_Carpets_and_Rugs,Q16_product_Brass_and_Copper_Artware,Q16_product_Premium_Banarasi_Paan,Q16_product_Gulabi_Meenakari_Craft,Q16_product_None_of_the_above,Q17_saree_type_Pure_Katan_Silk,Q17_saree_type_Organza_Banarasi,Q17_saree_type_Tissue_Silk,Q17_saree_type_Banarasi_Georgette,Q17_saree_type_Banarasi_Cotton_Silk,Q17_saree_type_Silk_Stoles___Dupattas,Q18_saree_color_Red___Maroon___Crimson,Q18_saree_color_Gold___Beige___Cream,Q18_saree_color_Royal_Blue___Navy,Q18_saree_color_Green___Emerald___Teal,Q18_saree_color_Pink___Magenta___Peach,Q18_saree_color_Black___Charcoal,Q18_saree_color_Purple___Lavender,Q18_saree_color_Yellow___Mustard,Q18_saree_color_Pastel_shades,Q18_saree_color_Multi-color___Contrast_combinations,Q19_carpet_type_Large_floor_carpets_6x9_ft+,Q19_carpet_type_Accent___Area_rugs_4x6_ft,Q19_carpet_type_Bedside_runners,Q19_carpet_type_Wall_hangings___Tapestries,Q19_carpet_type_Table_runners___Small_mats,Q19_carpet_type_Prayer_rugs,Q20_brass_Pooja_thali_sets_and_diyas,Q20_brass_Decorative_idols_and_figurines,Q20_brass_Planters_and_vases,Q20_brass_Serving_trays_and_bowls,Q20_brass_Wall_plates_and_hangings,Q20_brass_Candle_holders_and_lanterns,Q20_brass_Kitchen_utensils_traditional,Q21_paan_Classic_Meetha_Paan,Q21_paan_Saada_Paan,Q21_paan_Chocolate_Paan,Q21_paan_Dry_Fruit___Panchmeva_Paan,Q21_paan_Fire_Paan,Q21_paan_Ice_Paan,Q21_paan_Flavored_Paan_rose_kesar_gulkand,Q22_meenakari_Jewelry_pendants_earrings_bracelets,Q22_meenakari_Decorative_figurines,Q22_meenakari_Jewelry_boxes_and_trinket_boxes,Q22_meenakari_Serving_trays_and_plates,Q22_meenakari_Photo_frames,Q22_meenakari_Festive___Wedding_favors,Q26_barrier_Doubt_about_product_authenticity,Q26_barrier_Price_too_high,Q26_barrier_Cannot_assess_quality_online,Q26_barrier_No_easy_return_exchange_policy,Q26_barrier_Worried_about_shipping_damage,Q26_barrier_Products_feel_old-fashioned,Q26_barrier_Dont_know_trusted_sellers,Q26_barrier_Prefer_physical_stores_only,Q26_barrier_No_concerns_-_comfortable_buying_online,Q27_trust_Certificate_of_authenticity___GI_tag,Q27_trust_Video_of_artisan_making_product,Q27_trust_Detailed_product_photos_videos_360°,Q27_trust_Easy_30-day_return_policy,Q27_trust_Cash_on_delivery_COD,Q27_trust_Customer_reviews_with_real_photos,Q27_trust_Live_video_call_with_seller,Q27_trust_Trusted_brand___Celebrity_endorsement,Q27_trust_Nothing_-_only_buy_from_physical_stores
R0344,Unaware / Low Interest,25-34,Male,Haryana,Tier-3 / Small Town,Business Owner / Self-Employed,"₹50,001 – ₹1,00,000","Married, with children (nuclear family)",Little to no interest in traditional/handcrafted products,Not familiar at all,Important — influences alongside other factors,Never,"Below ₹1,000",680,Not sure,Highly Unlikely,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
R0345,Unaware / Low Interest,25-34,Female,Rajasthan,Tier-1,Other,"Above ₹2,00,000","Married, no children (nuclear)",Prefer modern/western; sometimes buy traditional as gifts,Slightly familiar — heard of sarees only,Not Important — focus on quality and price only,Rarely,"Below ₹1,000",500,Probably not,Highly Unlikely,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
R0346,Premium Traditionalist,35-44,Female,Delhi,Metro,Homemaker,"₹25,000 – ₹50,000","Married, living in a joint family",Actively seek traditional products; core part of my identity,Somewhat familiar — know but haven't purchased,Important — influences alongside other factors,Weekly,"₹15,001 – ₹30,000",337900,"Yes, definitely",Highly Likely,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
R0347,Premium Traditionalist,35-44,Female,Bihar,Tier-1,Homemaker,"₹50,001 – ₹1,00,000","Married, no children (nuclear)",Actively seek traditional products; core part of my identity,Somewhat familiar — know but haven't purchased,Important — influences alongside other factors,Monthly,"₹15,001 – ₹30,000",136100,Not sure,Highly Likely,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0
R0348,Budget Festival Shopper,18-24,Male,Gujarat,Rural,Salaried Professional,"₹1,00,001 – ₹2,00,000","Married, no children (nuclear)",Actively seek traditional products; core part of my identity,Slightly familiar — heard of sarees only,Important — influences alongside other factors,Twice a year,"₹5,001 – ₹15,000",32000,Not sure,Likely,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
R0349,Modern Occasional Buyer,25-34,Female,Haryana,Tier-2,Business Owner / Self-Employed,"₹50,001 – ₹1,00,000","Single, living alone",Open to traditional if modern/contemporary design,Not familiar at all,Not Important — focus on quality and price only,Twice a year,"₹5,001 – ₹15,000",9200,"Yes, definitely",Likely,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
R0350,Modern Occasional Buyer,35-44,Male,Rajasthan,Tier-2,Government Employee,"₹50,001 – ₹1,00,000","Married, with children (nuclear family)",Appreciate traditional; buy occasionally for festivals/occasions,Somewhat familiar — know but haven't purchased,Somewhat Important — nice to have,Rarely,"₹15,001 – ₹30,000",27000,Probably yes,Highly Likely,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
R0351,Premium Traditionalist,35-44,Female,Bihar,Metro,Homemaker,"₹50,001 – ₹1,00,000","Married, living in a joint family",Actively seek traditional products; core part of my identity,Very familiar — purchased before,Very Important — primary reason for handcrafted,Monthly,"Above ₹50,000",500000,"Yes, definitely",Highly Likely,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
R0352,Budget Festival Shopper,45-54,Female,Rajasthan,Tier-2,Salaried Professional,"₹50,001 – ₹1,00,000","Married, living in a joint family",Open to traditional if modern/contemporary design,Slightly familiar — heard of sarees only,Somewhat Important — nice to have,Rarely,"₹1,000 – ₹5,000",2500,Probably yes,Neutral,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
R0353,Modern Occasional Buyer,35-44,Female,Karnataka,Metro,Homemaker,"Below ₹25,000","Married, with children (nuclear family)",Actively seek traditional products; core part of my identity,Slightly familiar — heard of sarees only,Important — influences alongside other factors,Rarely,"₹15,001 – ₹30,000",34300,"Yes, definitely",Highly Likely,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
R0354,Budget Festival Shopper,18-24,Female,Uttarakhand,Tier-3 / Small Town,Student,"₹50,001 – ₹1,00,000","Single, living with parents / family",Little to no interest in traditional/handcrafted products,Slightly familiar — heard of sarees only,Somewhat Important — nice to have,Rarely,"₹1,000 – ₹5,000",600,Definitely not,Neutral,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
R0355,Modern Occasional Buyer,18-24,Female,Gujarat,Tier-3 / Small Town,Salaried Professional,"₹25,000 – ₹50,000","Single, living with parents / family",Open to traditional if modern/contemporary design,Very familiar — purchased before,Not Important — focus on quality and price only,Rarely,"₹15,001 – ₹30,000",9800,"Yes, definitely",Highly Likely,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
R0356,Budget Festival Shopper,35-44,Male,Rajasthan,Rural,Salaried Professional,"Below ₹25,000","Married, with children (nuclear family)",Little to no interest in traditional/handcrafted products,Somewhat familiar — know but haven't purchased,Not Important — focus on quality and price only,Quarterly,"₹5,001 – ₹15,000",11800,Probably yes,Neutral,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
R0357,Unaware / Low Interest,18-24,Female,Maharashtra,Tier-1,Homemaker,"₹1,00,001 – ₹2,00,000","Married, no children (nuclear)",Appreciate traditional; buy occasionally for festivals/occasions,Somewhat familiar — know but haven't purchased,Not Important — focus on quality and price only,Rarely,"₹15,001 – ₹30,000",17000,Not sure,Neutral,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0358,Modern Occasional Buyer,35-44,Male,Rajasthan,Tier-1,Business Owner / Self-Employed,"₹50,001 – ₹1,00,000","Married, living in a joint family",Open to traditional if modern/contemporary design,Somewhat familiar — know but haven't purchased,Not Important — focus on quality and price only,Quarterly,"Below ₹1,000",2300,Definitely not,Likely,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
R0359,Gift-Focused Corporate,55+,Female,Gujarat,Rural,Salaried Professional,"Below ₹25,000","Married, no children (nuclear)",Appreciate traditional; buy occasionally for festivals/occasions,Very familiar — purchased before,Somewhat Important — nice to have,Never,"₹5,001 – ₹15,000",59,"Yes, definitely",Highly Likely,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0
R0360,Gift-Focused Corporate,35-44,Male,Maharashtra,Tier-1,Salaried Professional,"₹1,00,001 – ₹2,00,000","Married, with children (nuclear family)",Prefer modern/western; sometimes buy traditional as gifts,Very familiar — purchased before,Important — influences alongside other factors,Quarterly,"₹1,000 – ₹5,000",10800,Probably not,Likely,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
R0361,Unaware / Low Interest,25-34,Male,Uttar Pradesh,Metro,Homemaker,"₹1,00,001 – ₹2,00,000","Married, living in a joint family",Prefer modern/western; sometimes buy traditional as gifts,Very familiar — purchased before,Not Important — focus on quality and price only,Rarely,"₹1,000 – ₹5,000",2100,Definitely not,Neutral,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
R0362,Gift-Focused Corporate,35-44,Female,Rajasthan,Tier-1,Salaried Professional,"Above ₹2,00,000","Married, with children (nuclear family)",Appreciate traditional; buy occasionally for festivals/occasions,Somewhat familiar — know but haven't purchased,Important — influences alongside other factors,Rarely,"₹15,001 – ₹30,000",392141,Probably yes,Highly Likely,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
R0363,Sustainability Millennial,25-34,Male,Telangana,Metro,Salaried Professional,"Above ₹2,00,000","Married, with children (nuclear family)",Open to traditional if modern/contemporary design,Somewhat familiar — know but haven't purchased,Very Important — primary reason for handcrafted,Rarely,"₹5,001 – ₹15,000",9500,Not sure,Likely,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
R0364,Gift-Focused Corporate,35-44,Female,Tamil Nadu,Tier-1,Business Owner / Self-Employed,"₹1,00,001 – ₹2,00,000","Single, living with parents / family",Appreciate traditional; buy occasionally for festivals/occasions,Very familiar — purchased before,Not Important — focus on quality and price only,Rarely,"₹15,001 – ₹30,000",15500,Not sure,Highly Likely,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0365,Premium Traditionalist,55+,Female,Maharashtra,Tier-1,Retired,"Below ₹25,000","Married, living in a joint family",Actively seek traditional products; core part of my identity,Very familiar — purchased before,Very Important — primary reason for handcrafted,Twice a year,"₹5,001 – ₹15,000",36300,Probably yes,Highly Likely,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
R0366,Budget Festival Shopper,25-34,Male,West Bengal,Tier-1,Homemaker,"₹25,000 – ₹50,000","Single, living with parents / family",Appreciate traditional; buy occasionally for festivals/occasions,Somewhat familiar — know but haven't purchased,Not Important — focus on quality and price only,Twice a year,"₹5,001 – ₹15,000",20300,Probably not,Neutral,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
R0367,Unaware / Low Interest,55+,Male,Uttar Pradesh,Tier-2,Homemaker,"₹1,00,001 – ₹2,00,000","Married, living in a joint family",Little to no interest in traditional/handcrafted products,Not familiar at all,Not Important — focus on quality and price only,Never,"Below ₹1,000",776,Definitely not,Highly Unlikely,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0
R0368,Gift-Focused Corporate,45-54,Female,Karnataka,Metro,Homemaker,"₹25,000 – ₹50,000","Married, with children (nuclear family)",Appreciate traditional; buy occasionally for festivals/occasions,Somewhat familiar — know but haven't purchased,Somewhat Important — nice to have,Quarterly,"₹5,001 – ₹15,000",46600,Probably yes,Highly Likely,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
R0369,Unaware / Low Interest,25-34,Male,Maharashtra,Tier-1,Government Employee,"₹50,001 – ₹1,00,000","Married, no children (nuclear)",Prefer modern/western; sometimes buy traditional as gifts,Slightly familiar — heard of sarees only,Very Important — primary reason for handcrafted,Never,"₹1,000 – ₹5,000",652,Definitely not,Unlikely,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
R0370,Gift-Focused Corporate,18-24,Female,Maharashtra,Tier-2,Salaried Professional,"₹50,001 – ₹1,00,000","Married, no children (nuclear)",Actively seek traditional products; core part of my identity,Slightly familiar — heard of sarees only,Important — influences alongside other factors,Twice a year,"₹15,001 – ₹30,000",62700,"Yes, definitely",Highly Likely,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0
R0371,Unaware / Low Interest,18-24,Female,Maharashtra,Tier-1,Salaried Professional,"₹50,001 – ₹1,00,000","Single, living alone",Prefer modern/western; sometimes buy traditional as gifts,Not familiar at all,Important — influences alongside other factors,Quarterly,"Below ₹1,000",800,Probably not,Highly Unlikely,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0
R0372,Gift-Focused Corporate,18-24,Female,Karnataka,Metro,Student,"₹1,00,001 – ₹2,00,000","Single, living with parents / family",Prefer modern/western; sometimes buy traditional as gifts,Slightly familiar — heard of sarees only,Somewhat Important — nice to have,Rarely,"₹30,001 – ₹50,000",14700,Not sure,Unlikely,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
R0373,Unaware / Low Interest,18-24,Female,Uttar Pradesh,Rural,Student,"₹25,000 – ₹50,000","Single, living with parents / family",Prefer modern/western; sometimes buy traditional as gifts,Not familiar at all,Not Important — focus on quality and price only,Rarely,"₹1,000 – ₹5,000",1100,Not sure,Unlikely,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
R0374,Budget Festival Shopper,35-44,Female,Karnataka,Tier-3 / Small Town,Homemaker,"₹25,000 – ₹50,000","Married, with children (nuclear family)",Appreciate traditional; buy occasionally for festivals/occasions,Not familiar at all,Somewhat Important — nice to have,Rarely,"₹5,001 – ₹15,000",9600,Probably yes,Likely,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0
R0375,Unaware / Low Interest,18-24,Female,Tamil Nadu,Metro,Student,"Above ₹2,00,000","Married, living in a joint family",Appreciate traditional; buy occasionally for festivals/occasions,Slightly familiar — heard of sarees only,Not Important — focus on quality and price only,Never,"₹15,001 – ₹30,000",323,Not sure,Neutral,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
